feature,importance_M4,rank_M4,importance_M5,rank_M5,importance_gap(M5-M4),rank_gap(M5-M4)
lag_1,856.0,1.0,894,1,38.0,0.0
lag_7,611.0,2.0,689,2,78.0,0.0
price,328.0,5.0,370,3,42.0,-2.0
rolling_std_7,367.0,4.0,359,4,-8.0,0.0
kw_lag_1,265.0,8.0,310,5,45.0,-3.0
kw_log,231.0,10.0,296,6,65.0,-4.0
day_of_week,317.0,6.0,276,8,-41.0,2.0
rolling_std_30,281.0,7.0,276,7,-5.0,0.0
recovery_median,372.0,3.0,249,9,-123.0,6.0
kw_lag_3,232.0,9.0,244,10,12.0,1.0
recovery_trend,175.0,14.0,206,11,31.0,-3.0
rolling_30_mean,184.0,12.0,190,12,6.0,0.0
days_to_holiday,217.0,11.0,186,13,-31.0,2.0
rolling_7_mean,127.0,15.0,177,14,50.0,-1.0
month,176.0,13.0,156,15,-20.0,2.0
recovery_mean,96.0,16.0,106,16,10.0,0.0
is_holiday,12.0,17.0,21,17,9.0,0.0
is_post_crash,0.0,,8,18,8.0,
quarter,0.0,18.0,0,19,0.0,1.0
