model,RMSE,MAE,PSFA
M5 / LSTM Full,54.78885977959484,4.754243841166484,0.17877396610650215
M5 / GRU Full,54.78885977959484,4.754243841166484,0.027231115528519888
M5 / TFT,56.642900027245126,4.725718344258156,
M5 / LSTM Base,56.804137235194716,4.724132942669909,0.39614103809424167
M5 / N-HiTS,57.55402183986027,4.893824764643255,
M5 / LSTM+Attention,57.58449119373188,4.8851027858632605,
M4 / LSTM Full,73.83846111339611,7.728520566864753,
M5 / LightGBM,75.1700805425658,13.358001621629287,0.4799169857860819
M4 / LSTM Base,85.46617019017636,8.270644463407498,0.691746177863071
M4 / GRU Full,85.74236606877308,8.732393696718008,
