제품,제품특성
B002-03509-00001,제품유형:일반식품 콜라겐 펩타이드:1000mg 종류:어류 분자량:300Da 섭취대상:성인남녀 제품타입:분말 제품용량:3개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:바로 음용 :1개 2g x 30포
B002-02376-00001, 700mg x 28정
B002-03735-00001,"제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:4정 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):비타민A 영양소 원료명(식약처고시):비타민D 영양소 원료명(식약처고시):비타민E 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민B12 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):나이아신 영양소 원료명(식약처고시):판토텐산 영양소 원료명(식약처고시):아연 영양소 원료명(식약처고시):셀레늄(셀렌) 카테킨:400mg :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:1포 제품용량:14일분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):셀레늄(셀렌) 카테킨:300mg :1개, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 제품유형_A:건강기능식품 14in1 700mg x 56정"
B002-03735-00003,제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1정 제품용량:2개월분 :1개 510mg x 60정
B002-02769-00001,HCA:900mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):판토텐산 1일 총 섭취량:4정 제품용량:28일분 제품타입:정 섭취횟수:하루 두 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 700mg x 112정
B002-02769-00002,"제품유형:일반식품 섭취대상:성인남녀 제품타입:액상 제품용량:7일분 섭취횟수:하루 한 번 1일 총 섭취량:1개 섭취방법:바로 음용 :1개, 주요 기능성(식약처인증):해당 없음 영양소 원료명(식약처고시):해당 없음 종류:어류 분자량:500Da 제품타입:정 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:씹어서 :1개, 제품유형:일반식품 섭취대상:성인남녀 제품타입:분말 제품용량:1개월분 섭취횟수:하루 한 번 1일 총 섭취량:1포 섭취방법:물과 함께 25ml x 7병"
B002-03432-00001,섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 두 번 1일 총 섭취량:2포 제품용량:15일분 주요 기능성(식약처인증):체지방 감소 카테킨:300mg :1개 3g x 30포
B002-01075-00001,"제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증):정, 생균1일 총 섭취량제품용량제품타입섭취횟수섭취방법섭취대상주요 기능성(식약처인증):1억 CFU, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)카테킨:정, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 제품유형_A:건강기능식품, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시):정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 제품타입:정 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)카테킨:정, 생균1일 총 섭취량제품용량제품타입섭취횟수섭취방법섭취대상주요 기능성(식약처인증):1억 CFU, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)제품유형:정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 식품품질인증제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:GMP우수건강기능식품제조기준, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 제품타입:분말 섭취방법:물에 섞어서 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1포 제품용량:50일분 :1개, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:캡슐, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시):정, 제품타입섭취방법섭취대상섭취횟수1일 총 섭취량제품용량주요 기능성(식약처인증)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)영양소 원료명(식약처고시)카테킨:정 900mg x 30정"
B002-02925-00001,제품타입:캡슐 섭취방법:물과 함께 섭취대상:성인남녀 섭취횟수:하루 한 번 1일 총 섭취량:1캡슐 제품용량:1개월분 주요 기능성(식약처인증):체지방 감소 영양소 원료명(식약처고시):해당 없음 푸닉산+후코잔틴:177mg :1개 600mg x 30캡슐
B002-00771-00001,"HCA:800mg 영양소 원료명(식약처고시):비타민B1 영양소 원료명(식약처고시):비타민B2 영양소 원료명(식약처고시):비타민B6 영양소 원료명(식약처고시):비타민B12 영양소 원료명(식약처고시):비타민C 영양소 원료명(식약처고시):나이아신 1일 총 섭취량:1포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 한 번 섭취방법:물과 함께 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개, HCA:750mg 영양소 원료명(식약처고시):해당 없음 1일 총 섭취량:1포 제품용량:1개월분 제품타입:분말 섭취횟수:하루 한 번 섭취방법:바로 음용 섭취대상:성인남녀 주요 기능성(식약처인증):체지방 감소 :1개 3g x 30포"
